ID;Photo_ID;REC_TIME;LATITUDE;LONGITUDE;Method;substrate;slice_id;slice_start;slice_end;bottle_weight;wet_weight;dry_weight;shell;syringe_diameter
NA;Mud_1;2026-04-03 11:54:44.000 GMT+02:00;46.959318;-2.173822;NA;mud;NA;NA;NA;NA;NA;NA;NA;NA
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;0-10;0;10;17.473;47.956;36.522;FALSE;2
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;10-20;10;20;17.479;46.733;34.526;FALSE;2
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;20-30;20;30;17.288;48.484;37.531;FALSE;2
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;30-40;30;40;17.484;50.85;40.133;TRUE;2
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;40-50;40;50;17.471;48.303;38.005;TRUE;2
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;50-60;50;60;17.479;51.742;41.689;FALSE;2
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;60-70;60;70;17.289;54.003;45.097;FALSE;2
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;70-80;70;80;17.468;53.455;44.267;FALSE;2
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;80-90;80;90;17.283;53.902;44.378;FALSE;2
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;90-100;90;100;17.293;54.005;44.753;FALSE;2
Mud_1;Mud_1_mix_top;2026-04-03 12:13:56.000 GMT+02:00;46.959337;-2.173833;mix;mud;full;0;100;17.277;53.049;41.868;FALSE;2.8
Mud_1;Mud_1_mix_bot;2026-04-03 12:18:00.000 GMT+02:00;46.959313;-2.173827;mix;mud;full;0;100;NA;NA;NA;NA;2.8
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;0-10;0;10;17.482;50.122;38.834;FALSE;2
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;10-20;10;20;17.475;47.434;36.971;FALSE;2
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;20-30;20;30;17.284;47;35.581;FALSE;2
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;30-40;30;40;17.479;50.376;40.319;FALSE;2
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;40-50;40;50;17.482;50.069;38.738;FALSE;2
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;50-60;50;60;17.282;49.257;37.448;FALSE;2
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;60-70;60;70;17.296;50.727;41.043;FALSE;2
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;70-80;70;80;17.478;52.816;43.829;FALSE;2
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;80-90;80;90;17.477;51.919;42.991;FALSE;2
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;90-100;90;100;17.465;51.65;42.772;FALSE;2
Mud_2;Mud_2_mix_top;2026-04-03 12:42:41.000 GMT+02:00;46.959345;-2.173852;mix;mud;full;0;100;17.477;50.755;40.292;FALSE;2.8
Mud_2;Mud_2_mix_bot;2026-04-03 12:46:20.000 GMT+02:00;46.959385;-2.173888;mix;mud;full;0;100;NA;NA;NA;NA;2.8
Mud_3;Mud_3_slice_top;2026-04-03 12:52:35.000 GMT+02:00;46.959322;-2.173913;slice;mud;0-10;0;10;17.287;51.703;40.301;FALSE;2
Mud_3;Mud_3_slice_top;2026-04-03 12:52:35.000 GMT+02:00;46.959322;-2.173913;slice;mud;10-20;10;20;17.47;47.333;34.553;FALSE;2
